time,x,y,yaw_deg,speed,accel,cmd_v,cmd_w,route_index,target_x,target_y
0.106,1.488,26.380,-18.470,8.523,0.000,4.500,0.081514,478,6.890,42.650
0.205,2.256,26.305,-10.461,8.707,1.871,4.500,0.163418,478,6.890,42.650
0.306,3.155,26.237,-4.824,7.741,-9.575,4.500,0.246112,478,6.890,42.650
0.407,3.863,26.222,-1.982,6.575,-11.499,4.500,0.280000,478,6.890,41.650
0.508,4.454,26.264,0.884,5.576,-9.909,4.500,0.280000,478,6.890,41.650
0.609,4.969,26.343,3.874,4.967,-6.074,4.500,0.280000,478,6.890,41.650
0.709,5.466,26.447,6.757,5.128,1.610,4.500,0.280000,478,6.890,41.650
0.811,5.954,26.576,9.577,4.983,-1.427,4.500,0.280000,478,6.890,41.650
0.911,6.424,26.725,12.334,4.890,-0.927,4.500,0.280000,478,6.890,41.650
1.013,6.923,26.912,15.312,4.815,-0.738,4.500,0.280000,478,6.890,41.650
1.113,7.318,27.082,17.717,4.747,-0.681,4.500,0.280000,478,6.890,41.650
1.215,7.742,27.287,20.617,4.683,-0.628,4.850,0.280000,479,6.890,42.650
1.316,8.193,27.532,23.220,4.725,0.412,5.200,0.280000,479,6.890,42.650
1.417,8.611,27.785,25.859,4.946,2.186,5.550,0.280000,479,6.890,42.650
1.518,9.024,28.061,28.572,5.045,0.977,5.900,0.280000,479,6.890,42.650
1.620,9.442,28.370,31.382,5.309,2.597,6.250,0.280000,480,6.890,43.650
1.720,9.813,28.671,33.941,5.290,-0.192,5.966,0.280000,480,6.890,43.650
1.822,10.263,29.075,37.234,5.468,1.745,5.966,0.280000,480,6.890,43.650
1.924,10.668,29.486,40.505,5.308,-1.583,5.966,0.280000,481,6.890,44.650
2.023,11.026,29.889,43.431,5.484,1.789,5.966,0.280000,481,6.890,44.650
2.123,11.356,30.303,46.400,5.276,-2.065,5.966,0.280000,482,6.890,45.650
2.224,11.671,30.741,49.405,5.426,1.503,5.966,0.280000,482,6.890,45.650
2.325,11.958,31.189,52.377,5.385,-0.410,5.966,0.280000,483,6.890,46.650
2.426,12.227,31.661,55.351,5.376,-0.085,5.966,0.280000,483,6.890,46.650
2.526,12.465,32.136,58.349,5.369,-0.072,5.966,0.280000,483,6.890,46.650
2.627,12.685,32.634,61.347,5.454,0.841,5.966,0.280000,484,6.890,47.650
2.727,12.873,33.134,64.356,5.354,-0.991,5.966,0.280000,484,6.890,47.650
2.828,13.039,33.654,67.361,5.451,0.954,5.966,0.280000,485,6.890,48.650
2.928,13.186,34.223,70.641,5.369,-0.814,5.966,0.280000,486,6.890,49.650
3.029,13.284,34.698,73.300,5.354,-0.146,5.966,0.280000,486,6.890,49.650
3.131,13.372,35.278,76.595,5.373,0.187,5.966,0.280000,487,6.890,50.650
3.232,13.424,35.819,79.598,5.401,0.279,5.966,0.280000,487,6.890,50.650
3.333,13.447,36.354,82.554,5.347,-0.534,5.966,0.280000,488,6.890,51.650
3.434,13.442,36.893,85.549,5.397,0.495,5.966,0.280000,488,6.890,51.650
3.535,13.409,37.433,88.545,5.405,0.080,5.966,0.280000,489,6.890,52.650
3.636,13.349,37.965,91.538,5.382,-0.226,5.966,0.280000,489,6.890,52.650
3.737,13.260,38.495,94.531,5.398,0.159,5.966,0.280000,490,6.890,53.650
3.837,13.130,39.077,97.799,5.438,0.403,5.966,0.280000,490,6.890,53.650
3.938,13.000,39.544,100.489,5.367,-0.711,5.966,0.280000,491,6.890,54.650
4.040,32.997,90.046,90.142,0.512,-47.688,4.966,0.124697,0,32.708,100.500
4.140,32.991,90.110,90.389,0.472,-0.390,4.500,-0.004204,0,32.708,100.500
4.240,32.990,90.145,90.432,0.542,0.698,4.500,-0.004683,0,32.708,100.500
4.342,32.989,90.215,90.422,0.879,3.295,4.500,-0.004648,0,32.708,100.500
4.442,32.989,90.324,90.413,1.173,2.948,4.500,-0.004648,0,32.708,100.500
4.543,32.988,90.458,90.397,1.419,2.446,4.500,-0.004598,0,32.708,100.500
4.644,32.987,90.611,90.381,1.679,2.555,4.500,-0.004538,1,32.708,101.500
4.746,32.986,90.793,90.363,1.888,2.058,4.500,-0.004476,1,32.708,101.500
4.847,32.986,90.990,90.346,2.087,1.978,4.500,-0.004421,1,32.708,101.500
4.947,32.985,91.211,90.329,2.261,1.739,4.500,-0.004372,1,32.708,101.500
5.048,32.984,91.445,90.306,2.457,1.942,4.500,-0.004303,1,32.708,101.500
5.148,32.983,91.699,90.288,2.589,1.303,4.500,0.017730,2,32.708,102.500
5.249,32.981,91.992,90.313,2.757,1.669,4.500,0.018862,2,32.708,102.500
5.350,32.977,92.246,90.396,2.851,0.932,4.500,0.019169,2,32.708,102.500
5.450,32.976,92.305,90.418,0.000,-28.671,4.500,0.019216,2,32.708,102.500
5.550,32.976,92.305,90.418,0.000,-0.000,4.500,0.019217,2,32.708,102.500
5.651,32.976,92.305,90.418,0.000,-0.000,4.500,0.019219,2,32.708,102.500
5.753,32.976,92.305,90.418,0.000,-0.000,4.500,0.019220,2,32.708,102.500
5.853,32.976,92.305,90.418,0.000,-0.000,4.500,0.019221,2,32.708,102.500
5.953,32.977,92.304,90.418,0.000,-0.000,4.500,0.019223,2,32.708,102.500
6.055,32.977,92.304,90.418,0.000,-0.000,4.500,0.019223,2,32.708,102.500
6.156,33.000,90.019,90.000,0.004,0.040,4.500,0.012851,2,32.708,102.500
6.257,33.000,90.019,90.000,0.000,-0.041,4.500,0.012851,2,32.708,102.500
6.358,33.000,90.019,90.000,0.000,-0.000,4.500,0.012851,2,32.708,102.500
6.458,33.000,90.019,90.000,0.000,-0.000,4.500,0.012851,2,32.708,102.500
6.558,33.000,90.019,90.000,0.000,-0.000,4.500,0.012851,2,32.708,102.500
6.659,33.000,90.019,90.000,0.000,-0.000,4.500,0.012851,2,32.708,102.500
6.761,33.000,90.019,90.000,0.000,-0.000,4.500,0.012852,2,32.708,102.500
6.861,33.000,90.019,90.000,0.000,-0.000,4.500,0.012852,2,32.708,102.500
6.962,33.000,90.019,90.000,0.000,-0.000,4.500,0.012852,2,32.708,102.500
7.063,33.000,90.019,90.000,0.000,-0.000,4.500,0.012852,2,32.708,102.500
7.164,33.000,90.019,90.000,0.000,-0.000,4.500,0.012852,2,32.708,102.500
7.264,33.000,90.019,90.000,0.000,-0.000,4.500,0.012852,2,32.708,102.500
7.365,33.000,90.019,90.000,0.000,-0.000,4.500,0.012852,2,32.708,102.500
7.466,33.000,90.019,90.000,0.000,-0.000,4.500,0.012852,2,32.708,102.500
7.567,33.000,90.019,90.000,0.000,-0.000,4.500,0.012852,2,32.708,102.500
7.667,33.000,90.019,90.000,0.000,-0.000,4.500,0.012852,2,32.708,102.500
7.769,33.000,90.019,90.000,0.000,-0.000,4.500,0.012852,2,32.708,102.500
7.868,33.000,90.019,90.000,0.000,-0.000,4.500,0.012852,2,32.708,102.500
