time,x,y,yaw_deg,speed,accel,cmd_v,cmd_w,route_index,target_x,target_y
0.004,0.000,0.000,0.000,0.000,0.000,4.500,0.204593,461,6.890,21.650
0.102,33.000,90.019,90.000,0.000,0.000,4.500,-0.029139,0,32.708,100.500
0.201,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
0.304,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
0.404,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
0.504,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
0.605,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
0.706,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
0.807,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
0.908,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
1.008,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
1.109,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
1.210,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
1.311,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
1.412,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
1.513,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
1.614,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
1.714,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
1.815,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
1.916,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
2.018,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
2.118,33.000,90.019,90.000,0.000,0.000,4.500,0.000165,0,32.708,100.500
2.218,33.000,90.019,90.000,0.000,0.000,4.500,0.000165,0,32.708,100.500
2.319,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
2.420,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
2.520,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
2.621,33.000,90.019,90.000,0.000,0.000,4.500,0.000165,0,32.708,100.500
2.721,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
2.822,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
2.923,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
3.024,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
3.125,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
3.226,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
3.328,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
3.428,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
3.528,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
3.629,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
3.730,33.000,90.019,90.000,0.000,0.000,4.500,0.000165,0,32.708,100.500
3.831,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
3.933,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
4.033,33.000,90.019,90.000,0.000,0.000,4.500,0.000165,0,32.708,100.500
4.134,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
4.235,33.000,90.019,90.000,0.000,-0.000,4.500,0.000165,0,32.708,100.500
4.335,33.000,90.019,90.000,0.000,0.000,4.500,0.000165,0,32.708,100.500
4.436,33.000,90.019,90.000,0.000,0.000,4.500,0.000165,0,32.708,100.500
4.537,33.000,90.051,90.000,0.593,5.868,4.500,0.000164,0,32.708,100.500
4.638,33.000,90.122,90.002,0.754,1.590,4.500,0.000135,0,32.708,100.500
4.738,33.000,90.220,90.006,1.168,4.115,4.500,0.000077,0,32.708,100.500
4.839,33.000,90.344,90.008,1.297,1.282,4.500,0.000088,0,32.708,100.500
4.940,33.000,90.494,90.006,1.657,3.553,4.500,0.000116,0,32.708,100.500
5.042,33.000,90.685,90.004,1.815,1.558,4.500,0.000147,1,32.708,101.500
5.141,33.000,90.861,89.998,2.060,2.461,4.500,0.000232,1,32.708,101.500
5.242,33.000,91.095,89.999,2.201,1.395,4.500,0.000211,1,32.708,101.500
5.344,33.000,91.303,89.997,2.391,1.875,4.500,0.000249,1,32.708,101.500
5.443,33.000,91.574,89.998,2.535,1.447,4.500,0.058157,2,32.708,102.500
5.543,33.000,91.836,90.011,2.681,1.459,4.500,0.028682,2,32.708,102.500
5.644,32.993,92.111,90.250,2.810,1.273,4.500,0.028463,2,32.708,102.500
5.745,32.987,92.399,90.443,2.930,1.198,4.500,0.023343,2,32.708,102.500
5.846,32.980,92.697,90.612,3.031,0.995,4.500,0.069643,3,32.708,103.500
5.948,32.973,93.006,90.767,3.137,1.041,4.500,0.040362,3,32.708,103.500
6.048,32.959,93.324,91.125,3.217,0.805,4.500,0.036776,3,32.708,103.500
6.150,32.946,93.651,91.426,3.311,0.925,4.500,0.234235,4,32.708,105.500
6.250,32.930,93.985,91.708,3.359,0.479,4.500,0.116495,4,32.708,105.500
6.351,32.886,94.319,92.926,3.400,0.396,4.850,-0.015729,5,32.708,109.500
6.451,32.846,94.665,93.877,3.560,1.607,5.000,-0.040530,5,32.708,109.500
6.552,32.819,95.039,94.026,3.876,3.136,5.000,-0.050997,6,32.708,110.500
6.652,32.798,95.424,93.780,3.882,0.062,5.000,-0.050287,6,32.708,110.500
6.754,32.781,95.819,93.457,4.000,1.165,5.000,-0.046297,6,32.708,110.500
6.854,32.765,96.258,93.028,4.013,0.129,5.000,-0.039416,7,32.708,111.500
6.956,32.753,96.664,92.655,4.103,0.890,5.000,-0.035284,7,32.708,111.500
7.057,32.742,97.075,92.322,4.123,0.194,5.350,-0.071863,8,32.708,112.500
7.158,32.733,97.493,92.006,4.260,1.363,5.700,-0.065668,8,32.708,112.500
7.258,32.732,97.939,91.481,4.584,3.231,6.050,-0.064051,8,32.708,112.500
7.358,32.734,98.406,90.893,4.768,1.826,6.400,-0.053444,9,32.708,113.500
7.459,32.742,98.901,90.295,5.097,3.278,6.750,-0.042344,9,32.708,113.500
7.560,32.752,99.417,89.774,5.222,1.238,7.100,-0.032115,10,32.708,114.500
7.661,32.766,99.957,89.280,5.564,3.377,7.450,-0.019940,10,32.708,114.500
7.762,32.784,100.575,88.864,5.775,2.097,7.800,-0.015457,11,32.708,115.500
7.863,32.800,101.107,88.598,6.138,3.585,8.150,-0.000062,12,32.708,116.500
7.964,32.821,101.788,88.373,6.377,2.369,8.500,-0.010539,12,32.708,116.500
8.065,32.841,102.432,88.297,6.588,2.095,8.850,-0.004105,13,32.708,117.500
8.165,32.863,103.112,88.190,7.004,4.139,9.200,-0.013711,14,32.708,119.500
8.266,32.887,103.816,88.114,7.024,0.202,9.550,-0.021449,14,32.708,119.500
8.368,32.916,104.551,87.936,7.542,5.072,9.900,-0.030556,15,32.708,120.500
8.468,32.950,105.315,87.690,7.681,1.397,10.250,-0.046324,16,32.708,121.500
8.570,32.992,106.107,87.285,8.092,4.043,10.600,-0.059304,17,32.708,122.500
8.670,33.046,106.929,86.700,8.346,2.537,10.950,-0.080737,17,32.708,122.500
8.770,33.116,107.775,85.851,8.557,2.088,11.300,-0.102640,18,32.708,123.500
8.871,33.208,108.659,84.661,9.049,4.876,11.650,-0.133258,19,32.708,124.500
8.973,33.330,109.562,82.892,9.351,2.975,12.000,-0.172761,20,32.708,125.500
9.074,33.493,110.495,81.003,9.638,2.855,12.350,-0.233934,21,32.708,126.500
9.174,33.734,111.531,77.865,9.820,1.804,12.700,-0.407858,22,32.708,127.500
9.276,33.999,112.390,73.973,10.130,3.058,11.700,-0.274652,23,32.708,128.500
9.377,34.425,113.407,68.811,9.961,-1.673,10.700,-0.565892,24,32.708,129.500
9.478,34.873,114.244,63.390,9.178,-7.769,9.700,-0.405353,25,32.708,130.500
9.579,35.384,114.953,56.945,8.495,-6.715,8.700,-0.348279,25,32.708,130.500
9.680,35.956,115.563,50.058,8.245,-2.480,7.700,-0.258058,26,32.708,131.500
9.782,36.554,116.088,44.044,7.752,-4.836,6.700,-0.169028,27,32.708,132.500
9.882,37.201,116.580,39.325,7.099,-6.532,5.966,-0.241067,27,32.708,132.500
9.984,37.709,116.927,36.588,6.595,-4.947,5.966,-0.066588,27,32.708,131.500
10.084,38.316,117.293,33.588,6.491,-1.039,5.966,-0.188270,28,32.708,132.500
10.186,38.880,117.628,31.997,6.512,0.206,5.966,-0.118604,28,32.708,132.500
10.286,39.439,117.919,30.025,6.252,-2.593,5.966,-0.153812,28,32.708,132.500
10.386,40.005,118.200,28.324,6.262,0.100,5.966,-0.197521,29,32.708,133.500
10.488,40.566,118.449,26.387,6.203,-0.586,5.966,-0.197809,29,32.708,133.500
10.590,41.146,118.673,24.108,6.250,0.462,5.966,-0.215671,29,32.708,133.500
10.689,41.720,118.866,21.714,6.024,-2.279,5.966,-0.218981,29,32.708,133.500
10.791,42.311,119.034,18.864,6.101,0.753,4.966,-0.383800,30,32.708,134.500
10.892,42.888,119.156,16.163,5.628,-4.699,4.500,-0.378787,30,32.708,134.500
10.992,43.469,119.207,11.824,5.230,-3.970,4.500,-0.344516,30,32.708,134.500
11.093,43.931,119.217,8.309,5.158,-0.714,4.500,-0.162016,30,32.708,134.500
11.194,44.500,119.215,4.891,5.124,-0.342,4.500,-0.187061,30,32.708,134.500
11.294,45.004,119.212,2.925,5.008,-1.148,4.500,-0.061791,30,32.708,134.500
11.395,45.502,119.201,1.401,4.955,-0.531,4.500,-0.029753,30,32.708,134.500
11.496,45.994,119.198,0.698,4.892,-0.625,4.500,-0.023024,30,32.708,134.500
11.597,46.480,119.196,0.344,4.842,-0.493,4.500,-0.023125,30,32.708,134.500
11.698,46.962,119.193,0.097,4.794,-0.474,4.500,-0.029155,30,32.708,134.500
11.799,47.439,119.188,-0.141,4.752,-0.413,4.500,-0.032311,30,32.708,134.500
