time,x,y,yaw_deg,speed,accel,cmd_v,cmd_w,route_index,target_x,target_y
0.024,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
0.101,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
0.203,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
0.303,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
0.405,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
0.505,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
0.606,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
0.706,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
0.807,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
0.908,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
1.009,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
1.110,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
1.210,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
1.311,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
1.413,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
1.513,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
1.613,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
1.714,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
1.816,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
1.916,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
2.016,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
2.117,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
2.218,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
2.319,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
2.420,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
2.520,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
2.621,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
2.723,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
2.823,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
2.924,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
3.025,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
3.126,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
3.229,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
3.328,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
3.429,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
3.530,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
3.630,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
3.731,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
3.833,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
3.934,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
4.035,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
4.135,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
4.236,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
4.337,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
4.438,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
4.538,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
4.639,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
4.742,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
4.843,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
4.942,33.000,90.027,90.000,0.345,3.462,4.500,-0.000105,0,32.708,100.500
5.043,33.000,90.093,89.997,0.702,3.552,4.500,-0.000082,0,32.708,100.500
5.144,33.000,90.175,90.004,0.987,2.823,4.500,-0.000138,0,32.708,100.500
