time,x,y,yaw_deg,speed,accel,cmd_v,cmd_w,route_index,target_x,target_y
0.005,33.000,90.019,90.000,0.000,0.000,4.500,-0.000915,0,32.708,100.500
0.101,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
0.201,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
0.302,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
0.403,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
0.504,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
0.605,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
0.705,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
0.806,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
0.907,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
1.007,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
1.109,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
1.209,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
1.309,33.000,90.019,90.000,0.000,0.000,4.500,-0.000165,0,32.708,100.500
1.410,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
1.512,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
1.612,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
1.712,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
1.813,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
1.914,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
2.015,33.000,90.019,90.000,0.000,0.000,4.500,-0.000165,0,32.708,100.500
2.115,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
2.217,33.000,90.019,90.000,0.000,0.000,4.500,-0.000165,0,32.708,100.500
2.319,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
2.419,33.000,90.019,90.000,0.000,0.000,4.500,-0.000165,0,32.708,100.500
2.521,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
2.621,33.000,90.019,90.000,0.000,0.000,4.500,-0.000165,0,32.708,100.500
2.721,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
2.822,33.000,90.019,90.000,0.000,0.000,4.500,-0.000165,0,32.708,100.500
2.923,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
3.025,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
3.124,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
3.227,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
3.327,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
3.428,33.000,90.019,90.000,0.000,0.000,4.500,-0.000165,0,32.708,100.500
3.528,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
3.630,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
3.731,33.000,90.019,90.000,0.000,0.000,4.500,-0.000165,0,32.708,100.500
3.831,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
3.931,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
4.032,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
4.132,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000165,0,32.708,100.500
4.233,33.000,90.031,90.000,0.345,3.420,4.500,-0.000165,0,32.708,100.500
4.334,33.000,90.093,90.007,0.696,3.475,4.500,-0.000256,0,32.708,100.500
4.436,33.000,90.176,90.005,0.993,2.927,4.500,-0.000229,0,32.708,100.500
4.537,33.000,90.306,89.996,1.265,2.704,4.500,-0.000113,0,32.708,100.500
4.638,33.000,90.430,89.998,1.522,2.521,4.500,-0.000115,0,32.708,100.500
4.738,33.000,90.614,89.997,1.755,2.344,4.500,-0.000107,1,32.708,101.500
4.840,33.000,90.799,89.997,1.966,2.077,4.500,-0.000085,1,32.708,101.500
4.940,33.000,91.008,89.997,2.155,1.888,4.500,-0.000071,1,32.708,101.500
5.041,33.000,91.232,89.996,2.333,1.745,4.500,-0.000069,1,32.708,101.500
5.142,33.000,91.474,89.994,2.475,1.414,4.500,-0.000019,1,32.708,101.500
5.243,33.000,91.730,89.996,2.640,1.627,4.500,0.022916,2,32.708,102.500
5.343,32.999,92.001,90.049,2.757,1.174,4.500,0.044827,2,32.708,102.500
5.444,32.994,92.283,90.242,2.901,1.427,4.500,0.041990,2,32.708,102.500
5.545,32.987,92.578,90.464,2.992,0.896,4.500,0.053603,3,32.708,103.500
5.646,32.976,92.913,90.771,3.110,1.169,4.500,0.080906,3,32.708,103.500
5.746,32.963,93.197,91.136,3.186,0.760,4.500,0.072622,3,32.708,103.500
5.846,32.942,93.553,91.661,3.287,1.011,4.500,0.122184,4,32.708,104.500
5.946,32.919,93.851,92.221,3.345,0.578,4.500,0.232958,4,32.708,105.500
6.047,32.872,94.218,93.458,3.401,0.556,4.500,0.223376,4,32.708,105.500
6.148,32.812,94.558,94.967,3.491,0.894,4.850,0.098341,5,32.708,109.500
6.249,32.753,94.919,96.105,3.836,3.415,5.000,-0.044171,5,32.708,109.500
6.351,32.707,95.304,96.388,3.833,-0.032,5.000,-0.136446,6,32.708,110.500
6.451,32.680,95.692,95.792,3.965,1.309,5.000,-0.113555,6,32.708,110.500
