time,x,y,yaw_deg,speed,accel,cmd_v,cmd_w,route_index,target_x,target_y
0.105,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
0.207,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
0.307,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
0.408,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
0.510,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
0.611,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
0.712,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
0.812,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
0.912,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
1.013,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
1.114,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
1.215,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
1.316,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
1.417,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
1.517,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
1.619,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
1.719,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
1.820,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
1.921,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
2.021,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
2.122,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
2.223,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
2.324,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
2.425,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
2.526,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
2.627,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
2.729,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
2.828,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
2.930,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
3.030,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
3.131,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
3.231,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
3.332,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
3.432,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
3.534,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
3.635,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
3.735,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
3.836,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
3.937,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
4.038,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
4.138,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
4.239,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
4.342,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
4.441,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
4.542,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000105,0,32.708,100.500
4.643,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
4.744,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
4.846,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
4.946,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
5.047,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
5.149,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
5.249,33.000,90.019,90.000,0.000,0.000,4.500,-0.000105,0,32.708,100.500
