time,x,y,yaw_deg,speed,accel,cmd_v,cmd_w,route_index,target_x,target_y
0.005,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
0.101,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
0.202,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
0.303,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
0.405,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
0.504,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
0.605,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
0.706,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
0.807,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
0.907,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
1.008,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
1.111,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
1.210,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
1.311,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
1.412,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
1.513,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
1.614,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
1.715,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
1.816,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
1.916,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
2.017,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
2.118,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
2.219,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
2.320,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
2.420,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
2.521,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
2.622,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
2.722,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
2.823,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
2.924,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
3.025,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
3.127,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
3.226,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
3.328,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
3.429,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
3.530,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
3.631,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
3.732,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
3.832,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
3.932,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
4.033,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
4.134,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
4.234,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
4.335,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
4.436,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
4.537,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
4.638,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
4.739,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
4.840,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
4.940,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
5.042,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
5.142,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
5.242,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
5.343,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
5.443,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000076,0,32.708,100.500
5.544,33.000,90.019,90.000,0.000,0.000,4.500,-0.000076,0,32.708,100.500
5.646,33.000,90.019,90.000,0.000,-0.000,4.500,-0.000076,0,32.708,100.500
